ID	HINT	HINT	ANSWER	TYPEIN	TYPEIN
SVG Path	Road Type	Route	Road Name	Alternate	Alternate 2
abernethy-road	Arterial Road	State Route 55	Abernethy Road
albany-highway	Highway	State Route 30	Albany Highway
alexander-drive	Arterial Road	State Route 56	Alexander Drive
armadale-road	Arterial Road	State Route 14	Armadale Road
bannister-road	Arterial Road		Bannister Road
beach-road	Arterial Road		Beach Road
beaufort-street	Arterial Road	State Route 53	Beaufort Street
beeliar-drive	Arterial Road	State Route 14	Beeliar Drive
benara-road	Arterial Road	State Route 76	Benara Road
berrigan-drive	Arterial Road		Berrigan Drive
the-boulevard	Arterial Road	State Route 72	The Boulevard
brookton-highway	Highway	State Route 40	Brookton Highway
broun-avenue	Arterial Road	State Route 53	Broun Avenue
burns-beach-road	Arterial Road	State Route 87	Burns Beach Road
canning-highway	Highway	National Route 1 / State Route 6	Canning Highway
canning-road	Arterial Road	State Route 41	Canning Road
charles-street	Arterial Road	State Route 60	Charles Street
cockburn-road	Arterial Road	State Route 12	Cockburn Road
collier-road	Arterial Road		Collier Road
connolly-drive	Arterial Road		Connolly Drive
corfield-street	Arterial Road	State Route 36	Corfield Street
crimea-street	Arterial Road		Crimea Street
curtin-avenue	Arterial Road	State Route 71	Curtin Avenue
drumpellier-drive	Arterial Road		Drumpellier Drive		r:^DRUM?P+EL+IER
ennis-avenue	Arterial Road	National Route 1	Ennis Avenue	r:^EN+IS
farrington-road	Arterial Road		Farrington Road	r:^FAR+INGTON
fitzgerald-street	Arterial Road	State Route 56	Fitzgerald Street
garratt-road	Arterial Road	State Route 55	Garratt Road	r:^GAR+AT+
gnangara-road	Arterial Road	State Route 83	Gnangara Road
graham-farmer-freeway	Freeway	State Route 8	Graham Farmer Freeway
grand-boulevard	Arterial Road		Grand Boulevard
grand-promenade	Arterial Road	State Route 55	Grand Promenade
great-eastern-highway	Highway	National Highway 94 / State Route 51	Great Eastern Highway
great-eastern-highway-bypass	Highway	National Highway 94	Great Eastern Highway Bypass
