ID	HINT	HINT	ANSWER	TYPEIN	TYPEIN
SVG Path	Road Type	Route	Road Name	Alternate	Alternate 2
mounts-bay-road	primary	State Route 5	Mounts Bay Road		
barrack-street	primary	State Route 5 / State Route 53	Barrack Street		
adelaide-terrace	trunk		Adelaide Terrace		
mitchell-freeway	motorway	State Route 2	Mitchell Freeway		
kwinana-freeway	motorway	National Route 1 / State Route 2	Kwinana Freeway		
william-street	primary	State Route 53	William Street		
alexander-drive	primary	State Route 56	Alexander Drive		
stirling-highway	trunk	State Route 5	Stirling Highway		
winthrop-avenue	primary	State Route 61	Winthrop Avenue		
erindale-road	primary		Erindale Road		
hepburn-avenue	primary	State Route 82	Hepburn Avenue		
marmion-avenue	trunk	State Route 71	Marmion Avenue		
reid-highway	trunk	State Route 3	Reid Highway		
beach-road	primary		Beach Road		
vincent-street	primary	State Route 72	Vincent Street		
loftus-street	primary	State Route 61	Loftus Street		
fitzgerald-street	primary	State Route 56	Fitzgerald Street		
thomas-street	primary	State Route 61	Thomas Street		
ocean-reef-road	primary	State Route 84	Ocean Reef Road		
warwick-road	primary	State Route 81	Warwick Road		
lake-monger-drive	primary	State Route 72	Lake Monger Drive		
southport-street	primary		Southport Street		
charles-street	trunk	State Route 60	Charles Street		
london-street	primary	State Route 61	London Street		
malaga-drive	primary		Malaga Drive		
karrinyup-road	trunk	State Route 76	Karrinyup Road		
oxford-street	primary		Oxford Street		
west-coast-highway	trunk	State Route 71	West Coast Highway		
joondalup-drive	primary	State Route 85	Joondalup Drive		
curtin-avenue	primary	State Route 71	Curtin Avenue		
eric-street	primary	State Route 71	Eric Street		
cedric-street	primary		Cedric Street		
hutton-street	primary		Hutton Street		
whitfords-avenue	primary	State Route 83	Whitfords Avenue		
nollamara-avenue	primary		Nollamara Avenue		
main-street	primary		Main Street		
wanneroo-road	trunk	State Route 60	Wanneroo Road		
burns-beach-road	primary	State Route 87	Burns Beach Road		
graham-farmer-freeway	motorway	State Route 8	Graham Farmer Freeway		
roe-highway	motorway	National Highway 94 / State Route 3	Roe Highway		
great-eastern-highway-bypass	trunk	National Highway 94	Great Eastern Highway Bypass		
canning-highway	trunk	National Route 1 / State Route 6	Canning Highway		
south-street	trunk	State Route 13	South Street		
mirrabooka-avenue	primary		Mirrabooka Avenue		
marangaroo-drive	primary	State Route 81	Marangaroo Drive		
great-eastern-highway	trunk	National Highway 94 / State Route 51	Great Eastern Highway		
causeway	trunk	State Route 5	Causeway		
west-swan-road	primary	State Route 52	West Swan Road		
gnangara-road	primary	State Route 83	Gnangara Road		
walcott-street	primary	State Route 75	Walcott Street		
green-street	primary	State Route 75	Green Street		
crimea-street	primary		Crimea Street		
alfred-road	primary		Alfred Road		
wellington-street	primary	State Route 65	Wellington Street		
railway-road	primary		Railway Road		
gugeri-street	primary		Gugeri Street		
plain-street	primary	State Route 65	Plain Street		
kings-park-road	primary		Kings Park Road		
stock-road	trunk	National Route 1	Stock Road		
phoenix-road	primary		Phoenix Road		
high-street	trunk	State Route 7	High Street		
cambridge-street	primary		Cambridge Street		
the-boulevard	primary	State Route 72	The Boulevard		
orrong-road	trunk	State Route 8	Orrong Road		
james-street	trunk	State Route 1 / State Route 51	James Street		
guildford-road	trunk	State Route 51	Guildford Road		
east-parade	trunk	State Route 66	East Parade		
canning-road	primary	State Route 41	Canning Road		
east-street	trunk	State Route 1 / State Route 51	East Street		
kalamunda-road	primary	State Route 41	Kalamunda Road		
morrison-road	primary	National Route 1	Morrison Road		
hay-street	primary		Hay Street		
st-georges-terrace	primary		St Georges Terrace		
oceanic-drive	primary		Oceanic Drive		
underwood-avenue	primary	State Route 65	Underwood Avenue		
burslem-drive	primary		Burslem Drive		
fremantle-road	primary	State Route 36	Fremantle Road		
spencer-road	primary	State Route 36	Spencer Road		
nicholson-road	primary	State Route 31	Nicholson Road		
warton-road	primary		Warton Road		
grantham-street	primary	State Route 72	Grantham Street		
hale-road	primary		Hale Road		
huntriss-road	primary		Huntriss Road		
beechboro-road-north	primary	State Route 53	Beechboro Road North		
welshpool-road-east	primary	State Route 8	Welshpool Road East		
safety-bay-road	primary	State Route 18	Safety Bay Road		
shepperton-road	trunk	State Route 30	Shepperton Road		
albany-highway	primary	State Route 30	Albany Highway		
welshpool-road	primary		Welshpool Road		
leach-highway	motorway	National Route 1 / State Route 7	Leach Highway		
tonkin-highway	motorway	State Route 4	Tonkin Highway		
brookton-highway	trunk	State Route 40	Brookton Highway		
armadale-road	trunk	State Route 14	Armadale Road		
ranford-road	primary	State Route 13	Ranford Road		
kewdale-road	primary		Kewdale Road		
horrie-miller-drive	primary		Horrie Miller Drive		
newcastle-street	primary		Newcastle Street		
bulwer-street	primary	State Route 72	Bulwer Street		
hill-street	primary	State Route 51	Hill Street		
lord-street	primary	State Route 51	Lord Street		
beaufort-street	primary	State Route 53	Beaufort Street		
railway-parade	primary		Railway Parade		
neaves-road	primary	State Route 85	Neaves Road		
brockway-road	primary		Brockway Road		
brookdale-street	primary		Brookdale Street		
hampton-road	primary	State Route 12	Hampton Road		
walter-road-east	primary		Walter Road East		
balcatta-road	primary	State Route 78	Balcatta Road		
morley-drive-east	primary	State Route 76	Morley Drive East		
altone-road	primary		Altone Road		
selby-street	primary	State Route 64	Selby Street		
pearson-street	primary	State Route 64	Pearson Street		
brisbane-street	primary	State Route 53	Brisbane Street		
kenwick-link	trunk	State Route 30	Kenwick Link		
hayman-road	primary		Hayman Road		
high-road	primary	State Route 27	High Road		
queen-victoria-street	primary	State Route 12	Queen Victoria Street		
camboon-road	primary		Camboon Road		
wellington-road	primary		Wellington Road		
broun-avenue	primary	State Route 53	Broun Avenue		
kent-street	primary		Kent Street		
mandurah-road	primary	National Route 1 / State Route 22	Mandurah Road		
rockingham-road	trunk	National Route 1 / State Route 14	Rockingham Road		
patterson-road	trunk	National Route 1 / State Route 18	Patterson Road		
riverside-drive	primary	State Route 5	Riverside Drive		
beechboro-road-south	primary		Beechboro Road South		
ellen-stirling-boulevard	primary		Ellen Stirling Boulevard		
jon-sanders-drive	primary		Jon Sanders Drive		
south-western-highway	trunk	State Route 20	South Western Highway		
benara-road	primary	State Route 76	Benara Road		
beeliar-drive	trunk	State Route 14	Beeliar Drive		
ennis-avenue	trunk	National Route 1	Ennis Avenue		
olga-road	primary		Olga Road		
kelvin-road	primary		Kelvin Road		
thomas-road	trunk	State Route 21	Thomas Road		
read-street	primary		Read Street		
warnbro-sound-avenue	primary		Warnbro Sound Avenue		
lake-road	primary		Lake Road		
champion-drive	primary		Champion Drive		
corfield-street	primary	State Route 36	Corfield Street		
lawson-street	primary		Lawson Street		
douglas-avenue	primary		Douglas Avenue		
karel-avenue	primary		Karel Avenue		
belgravia-street	primary	State Route 55	Belgravia Street		
grandstand-road	primary	State Route 55	Grandstand Road		
garratt-road	primary	State Route 55	Garratt Road		
rae-road	primary		Rae Road		
harborne-street	primary		Harborne Street		
powis-street	primary		Powis Street		
yirrigan-drive	primary		Yirrigan Drive		
ravenswood-drive	primary		Ravenswood Drive		
morley-drive	trunk	State Route 76	Morley Drive		
kulija-road	primary	State Route 22	Kulija Road		
mundijong-road	primary	State Route 22	Mundijong Road		
gilmore-avenue	primary		Gilmore Avenue		
wellard-road	primary		Wellard Road		
grand-promenade	primary	State Route 55	Grand Promenade		
dianella-drive	primary		Dianella Drive		
russell-road	primary		Russell Road		
midgegooroo-avenue	primary		Midgegooroo Avenue		
north-lake-road	primary		North Lake Road		
berrigan-drive	primary		Berrigan Drive		
frobisher-street	primary		Frobisher Street		
scarborough-beach-road	primary	State Route 75	Scarborough Beach Road		
flynn-street	primary	State Route 64	Flynn Street		
howtree-place	primary		Howtree Place		
hill-view-terrace	primary		Hill View Terrace		
berwick-street	primary		Berwick Street		
riseley-street	trunk		Riseley Street		
marmion-street	primary		Marmion Street		
central-avenue	primary		Central Avenue		
walter-road-west	primary		Walter Road West		
king-william-street	primary		King William Street		
shenton-avenue	primary		Shenton Avenue		
collier-road	primary		Collier Road		
port-beach-road	primary		Port Beach Road		
victoria-street	primary		Victoria Street		
swan-view-road	primary		Swan View Road		
old-york-road	primary		Old York Road		
manning-road	primary	State Route 26	Manning Road		
oats-street	primary		Oats Street		
amelia-street	primary		Amelia Street		
widgee-road	primary		Widgee Road		
coode-street	primary		Coode Street		
fairbrother-street	primary	State Route 55	Fairbrother Street		
royal-street	primary		Royal Street		
cockburn-road	primary	State Route 12	Cockburn Road		
hodges-drive	primary		Hodges Drive		
stubbs-terrace	primary		Stubbs Terrace		
roberts-road	primary		Roberts Road		
johnson-street	trunk	State Route 1	Johnson Street		
murdoch-drive	primary		Murdoch Drive		
odin-road	primary		Odin Road		
lloyd-street	primary		Lloyd Street		
great-northern-highway	trunk	National Highway 95	Great Northern Highway		
southern-river-road	primary		Southern River Road		
spring-road	primary		Spring Road		
abernethy-road	primary	State Route 55	Abernethy Road		
russell-street	primary		Russell Street		
toodyay-road	primary	State Route 50	Toodyay Road		
garden-street	primary		Garden Street		
stoneham-street	primary	State Route 55	Stoneham Street		
dixon-road	primary	State Route 22	Dixon Road		
bannister-road	primary		Bannister Road		
ord-street	primary	State Route 12	Ord Street		
collier-link	primary		Collier Link		
embleton-avenue	primary		Embleton Avenue		
jandakot-road	primary		Jandakot Road		
yale-road	primary		Yale Road		
woodrow-avenue	primary		Woodrow Avenue		
council-avenue	primary		Council Avenue		
whatley-crescent	primary		Whatley Crescent		
watkins-road	primary	State Route 22	Watkins Road		
stephenson-avenue	primary	State Route 64	Stephenson Avenue		
mundaring-weir-road	primary	State Route 207	Mundaring Weir Road		
meadow-street	primary	State Route 52 / State Route 203	Meadow Street		
centenary-avenue	primary		Centenary Avenue		
birdiya-drive	trunk	State Route 5	Birdiya Drive		
tydeman-road	primary	State Route 204	Tydeman Road		
drumpellier-drive	primary		Drumpellier Drive		
airport-drive	primary		Airport Drive		
the-promenade	primary		The Promenade		
brady-street	primary		Brady Street		
walter-place	primary	State Route 204	Walter Place		
muchea-south-road	primary	State Route 85 / State Route 359	Muchea South Road		
