LOC_PID,LOC_NAME
loc0218d151eee9,Alexander Heights
loc6727e188bd75,Alfred Cove
locbafc4ce674ec,Anketell
locc923ebe76962,Applecross
locc54bc63ad3a4,Ardross
loce0d34bcf446f,Armadale
loc4308607738e9,Ascot
loc579a4606b68d,Ashby
loca327cccb8944,Ashfield
loc3aa53f3d6619,Attadale
loc4b5f27d67208,Atwell
locfd2d02ef4126,Aubin Grove
loc515722de7c4d,Aveley
locee3e395f3fff,Balcatta
loc03c58af0540d,Baldivis
loc420671b1da8c,Balga
loc753fc9cf6e17,Ballajura
locb71194fe39bd,Banjup
loccb3c83db7416,Banksia Grove
locbdf5990189b0,Baskerville
locb6db53e30ac2,Bassendean
loc97104f6c3cd7,Bateman
loc2087b070e03d,Bayswater
loce9dd7604daa5,Beaconsfield
loc2f12221cae43,Beckenham
loc2883d517eb49,Bedford
loc95f4d7f0dce1,Bedfordale
loc7e6adb35d998,Beechboro
loc2c3602b54abb,Beeliar
loc505f69ebee39,Beldon
loc2fcd6d4c49ed,Belhus
loceca5cd17e87e,Bellevue
loc1ba6578b605f,Belmont
loc255b3a7eaead,Bennett Springs
locf5d5d3a4a86d,Bentley
loc7d78f1483355,Bertram
locf71ea39386fd,Bibra Lake
loc84a7d2f47d62,Bickley
loc70f697ee3916,Bicton
locf19bd2f61c83,Booragoon
loc97def4d8bd6f,Brabham
loc9de86db7d39f,Brentwood
locee190d5ee7f9,Bull Creek
loc63b294aaf2d1,Bullsbrook
loc640ed3c49867,Burns Beach
loc98b2b327191f,Burswood
locfd34e70cb12a,Butler
loc4e0ec921c389,Byford
loc1cd9be4ffd78,Calista
loc288a8eda0b65,Camillo
loce25368c73871,Canning Vale
loc0cea1c9bcab8,Cannington
locd216dc2d53b1,Cardup
locf2377a2e505f,Carine
loc26a0d1ae8fa5,Carlisle
loc1a2a3e157fb2,Carmel
locd5987ca7eff3,Carramar
loc2838cec84e93,Casuarina
loc584898d59c71,Caversham
locd3505590fc12,Champion Lakes
loc2ea0a75ed665,Churchlands
loc9cafe87a74f8,City Beach
loc3fb2df883def,Claremont
loc0ae9ba8db21e,Clarkson
loce0e284efa0a2,Cloverdale
loc18245fecb8d8,Cockburn Central
loc8f5e0a8165c8,Como
loc8ab2e22d72a7,Connolly
loc665074a99d08,Coogee
loc24e302c5017a,Coolbellup
loc8f67155720a8,Coolbinia
loc03d80f6c5fc3,Cooloongup
loce1cce6fb086b,Cottesloe
loc199116bb4925,Craigie
loce533593c76da,Crawley
loc913b4d0b9c27,Cullacabardee
loc98f8e18dbea2,Currambine
loc51e7b01c4ccf,Daglish
locde44c0e360e1,Darch
loc2fa86f9a4688,Darling Downs
loca601db6b2d84,Darlington
loca4b4f81505fd,Dayton
loc8c50e39b632f,Dianella
locCfwbcbz-kjpb,Doobarda
locb858ee4f7327,Doubleview
loc8ac2a3f79895,Duncraig
