ID	HINT	HINT2	ANSWER	TYPEIN	TYPEIN2
SVG Path	Road Type	Route	Road Name	Alternate	Alternate 2
graham-farmer-freeway	Motorway	State Route 8	Graham Farmer Freeway	Graham Farmer Fwy	
kwinana-freeway	Motorway	National Route 1 / State Route 2	Kwinana Freeway	Kwinana Fwy	
leach-highway	Motorway	National Route 1 / State Route 7	Leach Highway	Leach Hwy	
mitchell-freeway	Motorway	State Route 2	Mitchell Freeway	Mitchell Fwy	
roe-highway	Motorway	National Highway 94 / State Route 3	Roe Highway	Roe Hwy	
tonkin-highway	Motorway	State Route 4	Tonkin Highway	Tonkin Hwy	
adelaide-terrace	Trunk		Adelaide Terrace	Adelaide Tce	
armadale-road	Trunk	State Route 14	Armadale Road	Armadale Rd	
beeliar-drive	Trunk	State Route 14	Beeliar Drive	Beeliar Dr	
birdiya-drive	Trunk	State Route 5	Birdiya Drive	Birdiya Dr	
brookton-highway	Trunk	State Route 40	Brookton Highway	Brookton Hwy	
canning-highway	Trunk	National Route 1 / State Route 6	Canning Highway	Canning Hwy	
causeway	Trunk	State Route 5	Causeway		
charles-street	Trunk	State Route 60	Charles Street	Charles St	
east-parade	Trunk	State Route 66	East Parade	East Pde	
east-street	Trunk	State Route 1 / State Route 51	East Street	East St	
ennis-avenue	Trunk	National Route 1	Ennis Avenue	Ennis Ave	
great-eastern-highway	Trunk	National Highway 94 / State Route 51	Great Eastern Highway	Great Eastern Hwy	
great-eastern-highway-bypass	Trunk	National Highway 94	Great Eastern Highway Bypass	Great Eastern Hwy Bypass	
great-northern-highway	Trunk	National Highway 95	Great Northern Highway	Great Northern Hwy	
guildford-road	Trunk	State Route 51	Guildford Road	Guildford Rd	
high-street	Trunk	State Route 7	High Street	High St	
james-street	Trunk	State Route 1 / State Route 51	James Street	James St	
johnson-street	Trunk	State Route 1	Johnson Street	Johnson St	
karrinyup-road	Trunk	State Route 76	Karrinyup Road	Karrinyup Rd	
kenwick-link	Trunk	State Route 30	Kenwick Link	Kenwick Lk	
marmion-avenue	Trunk	State Route 71	Marmion Avenue	Marmion Ave	
morley-drive	Trunk	State Route 76	Morley Drive	Morley Dr	
orrong-road	Trunk	State Route 8	Orrong Road	Orrong Rd	
patterson-road	Trunk	National Route 1 / State Route 18	Patterson Road	Patterson Rd	
reid-highway	Trunk	State Route 3	Reid Highway	Reid Hwy	
riseley-street	Trunk		Riseley Street	Riseley St	
rockingham-road	Trunk	National Route 1 / State Route 14	Rockingham Road	Rockingham Rd	
shepperton-road	Trunk	State Route 30	Shepperton Road	Shepperton Rd	
south-street	Trunk	State Route 13	South Street	South St	
south-western-highway	Trunk	State Route 20	South Western Highway	South Western Hwy	
stirling-highway	Trunk	State Route 5	Stirling Highway	Stirling Hwy	
stock-road	Trunk	National Route 1	Stock Road	Stock Rd	
thomas-road	Trunk	State Route 21	Thomas Road	Thomas Rd	
wanneroo-road	Trunk	State Route 60	Wanneroo Road	Wanneroo Rd	
west-coast-highway	Trunk	State Route 71	West Coast Highway	West Coast Hwy	
abernethy-road	Primary	State Route 55	Abernethy Road	Abernethy Rd	
airport-drive	Primary		Airport Drive	Airport Dr	
albany-highway	Primary	State Route 30	Albany Highway	Albany Hwy	
alexander-drive	Primary	State Route 56	Alexander Drive	Alexander Dr	
alfred-road	Primary		Alfred Road	Alfred Rd	
altone-road	Primary		Altone Road	Altone Rd	
amelia-street	Primary		Amelia Street	Amelia St	
balcatta-road	Primary	State Route 78	Balcatta Road	Balcatta Rd	
bannister-road	Primary		Bannister Road	Bannister Rd	
barrack-street	Primary	State Route 5 / State Route 53	Barrack Street	Barrack St	
beach-road	Primary		Beach Road	Beach Rd	
beaufort-street	Primary	State Route 53	Beaufort Street	Beaufort St	
beechboro-road-north	Primary	State Route 53	Beechboro Road North	Beechboro Rd North	
beechboro-road-south	Primary		Beechboro Road South	Beechboro Rd South	
belgravia-street	Primary	State Route 55	Belgravia Street	Belgravia St	
benara-road	Primary	State Route 76	Benara Road	Benara Rd	
berrigan-drive	Primary		Berrigan Drive	Berrigan Dr	
berwick-street	Primary		Berwick Street	Berwick St	
brady-street	Primary		Brady Street	Brady St	
brisbane-street	Primary	State Route 53	Brisbane Street	Brisbane St	
brockway-road	Primary		Brockway Road	Brockway Rd	
brookdale-street	Primary		Brookdale Street	Brookdale St	
broun-avenue	Primary	State Route 53	Broun Avenue	Broun Ave	
bulwer-street	Primary	State Route 72	Bulwer Street	Bulwer St	
burns-beach-road	Primary	State Route 87	Burns Beach Road	Burns Beach Rd	
burslem-drive	Primary		Burslem Drive	Burslem Dr	
camboon-road	Primary		Camboon Road	Camboon Rd	
cambridge-street	Primary		Cambridge Street	Cambridge St	
canning-road	Primary	State Route 41	Canning Road	Canning Rd	
cedric-street	Primary		Cedric Street	Cedric St	
centenary-avenue	Primary		Centenary Avenue	Centenary Ave	
central-avenue	Primary		Central Avenue	Central Ave	
champion-drive	Primary		Champion Drive	Champion Dr	
cockburn-road	Primary	State Route 12	Cockburn Road	Cockburn Rd	
collier-link	Primary		Collier Link	Collier Lk	
collier-road	Primary		Collier Road	Collier Rd	
